nome,nome_civil,partido,uf,periodo_mandato,telefones,email,data_nascimento,naturalidade,profissao,formacao,numero_mandatos,comissoes,link_perfil,fonte_dados,url_fonte,data_extracao,metodo_extracao
Adriana Ventura (NOVO-SP),Adriana Ventura,NOVO,SP,2023 - 2027,(61) 3215-5802,dep.adrianaventura@camara.leg.br,06/03/1969,São Paulo - SP,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/204528,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F,2025-12-07 15:59:22,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Alice Portugal (PCdoB-BA),Alice Portugal,PCdoB,BA,2023 - 2027,(61) 3215-5420,dep.aliceportugal@camara.leg.br,16/05/1959,Salvador - BA,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/74057,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F,2025-12-07 15:59:22,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Aline Gurgel (REPUBLICANOS-AP),"Aline Gurgel
                    

Não está em exercício",,,3216 - 0000,(61) 3216-0000,,25/11/1980,Macapá - AP,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/204353,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F,2025-12-07 15:59:22,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Amália Barros (PL-MT),"Amália Barros
                    

Não está em exercício",PL,MT,3216 - 0000,(61) 3216-0000,,22/03/1985,Moji-Mirim - SP,,,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/220596,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F,2025-12-07 15:59:22,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Amanda Gentil (PP-MA),Amanda Gentil,PP,MA,2023 - 2027,(61) 3215-5862,dep.amandagentil@camara.leg.br,25/12/1998,Caxias - MA,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/220707,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F,2025-12-07 15:59:22,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Ana Paula Leão (PP-MG),Ana Paula Leão,PP,MG,2023 - 2027,(61) 3215-5658,dep.anapaulaleao@camara.leg.br,22/08/1965,Varginha - MG,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/107970,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F,2025-12-07 15:59:22,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Ana Paula Lima (PT-SC),Ana Paula Lima,PT,SC,2023 - 2027,(61) 3215-5206,dep.anapaulalima@camara.leg.br,19/04/1964,Curitiba - PR,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/220556,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F,2025-12-07 15:59:22,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Ana Pimentel (PT-MG),Ana Pimentel,PT,MG,2023 - 2027,(61) 3215-5234,dep.anapimentel@camara.leg.br,15/05/1982,Congonhas - MG,,,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/220632,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F,2025-12-07 15:59:22,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Andreia Siqueira (MDB-PA),Andreia Siqueira,MDB,PA,2023 - 2027,(61) 3215-5408,dep.andreiasiqueira@camara.leg.br,19/08/1992,Tucuruí - PA,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/220676,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F,2025-12-07 15:59:22,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Antônia Lúcia (REPUBLICANOS-AC),Antônia Lúcia,,,2023 - 2027,(61) 3215-5544,dep.antonialucia@camara.leg.br,17/07/1970,Senador Guiomard - AC,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/123756,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F,2025-12-07 15:59:22,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Any Ortiz (CIDADANIA-RS),Any Ortiz,CIDADANIA,RS,2023 - 2027,(61) 3215-5810,dep.anyortiz@camara.leg.br,19/10/1983,Canoas - RS,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/220549,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F,2025-12-07 15:59:22,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Benedita da Silva (PT-RJ),Benedita da Silva,PT,RJ,2023 - 2027,(61) 3215-5330,dep.beneditadasilva@camara.leg.br,26/04/1942,Rio de Janeiro - RJ,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/73701,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F,2025-12-07 15:59:22,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
Bia Kicis (PL-DF),Bia Kicis,PL,DF,2023 - 2027,(61) 3215-5309,dep.biakicis@camara.leg.br,19/09/1961,Resende - RJ,,s,,"Agência Câmara de Notícias
Rádio Câmara
TV Câmara
Banco de Imagens
Assessoria de Imprensa
Comprove uma notícia",https://www.camara.leg.br/deputados/204374,Web Scraping HTML,https://www.camara.leg.br/deputados/quem-sao/resultado?search=&partido=&uf=&legislatura=&sexo=F,2025-12-07 15:59:22,BeautifulSoup - Câmara dos Deputados (filtro sexo=F)
